SMILES,id1,id2,exp_val,type
Nc1ccc(O)cc1,5,5,0,O-H
Nc1cccc(O)c1,6,6,0,O-H
Oc1ccc(Br)cc1,0,0,0,O-H
CC(C)(C)c1ccc(O)cc1,8,8,0,O-H
Cc1cccc(O)c1C,6,6,0,O-H
Cc1ccc(O)cc1C,5,5,0,O-H
Cc1cc(C)cc(O)c1,7,7,0,O-H
Cc1ccc(O)c(C)c1,5,5,0,O-H
CC(=O)c1ccc(O)cc1,7,7,0,O-H
CCN(O)CC,3,3,0,O-H
CCCC(C)C(C(=O)OC)c1ccc(Br)cc1,3,5,0,C-C
CCCC(C)C(C(=O)OCC(F)(F)F)c1ccc(Br)cc1,3,5,0,C-C
CCCC(C)C(C(=O)OCC(Br)(Br)Br)c1ccc(Br)cc1,3,5,0,C-C
CCCC(C)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(C(F)(F)F)cc1,3,5,0,C-C
CCCC(C)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(C(C)(C)C)cc1,3,5,0,C-C
CCCC(C)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(Cl)nc1,3,5,0,C-C
CCCCCCC(C)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(Br)cc1,6,8,0,C-C
CC(CCCCF)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(Br)cc1,1,7,0,C-C
CC(CCCCCl)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(Br)cc1,1,7,0,C-C
CC(CCCCBr)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(Br)cc1,1,7,0,C-C
CC(CCCBr)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(Br)cc1,1,6,0,C-C
CC(CCCOC(=O)C(C)(C)C)C(C(=O)OCC(Cl)(Cl)Cl)c1ccc(Br)cc1,1,12,0,C-C
